ID,Previous Difficulty,New Difficulty,Topic,Domain,Skill
00221c00,Hard,Easy,Reading and Writing,Expression of Ideas,Transitions
00460c13,Easy,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
0113152f,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
01989d77,Easy,Medium,Reading and Writing,Information and Ideas,Inferences
01c8c433,Easy,Medium,Reading and Writing,Expression of Ideas,Transitions
03080769,Medium,Hard,Reading and Writing,Craft and Structure,Cross-Text Connections
03701ef3,Hard,Medium,Reading and Writing,Information and Ideas,Inferences
0778b4ac,Medium,Easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
08b28c1a,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
08ff903e,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
0bcb4417,Medium,Hard,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
0c13dea9,Medium,Easy,Reading and Writing,Expression of Ideas,Transitions
0c622cfb,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
10cd0327,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
11a9f635,Medium,Hard,Reading and Writing,Information and Ideas,Central Ideas and Details
11df9b99,Medium,Hard,Reading and Writing,Expression of Ideas,Transitions
12d81fc1,Medium,Hard,Reading and Writing,Craft and Structure,Cross-Text Connections
14189fbb,Hard,Easy,Reading and Writing,Information and Ideas,Central Ideas and Details
145da981,Easy,Medium,Reading and Writing,Information and Ideas,Command of Evidence
16631d34,Hard,Medium,Reading and Writing,Expression of Ideas,Rhetorical Synthesis
1724dac2,Easy,Hard,Reading and Writing,Standard English Conventions,Boundaries
1782cdd7,Easy,Medium,Reading and Writing,Craft and Structure,Text Structure and Purpose
190857f0,Medium,Easy,Reading and Writing,Craft and Structure,Text Structure and Purpose
20a6a4ed,Medium,Easy,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense"
22105871,Easy,Medium,Reading and Writing,Craft and Structure,Cross-Text Connections
22b3da87,Hard,Medium,Reading and Writing,Information and Ideas,Inferences
22e4d633,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
2584bcfb,Medium,Hard,Reading and Writing,Information and Ideas,Command of Evidence
27d9bb69,Medium,Hard,Reading and Writing,Craft and Structure,Cross-Text Connections
